Entity Name,Entity ID,Fiscal Year,Hangar Space Rentals_Operating Revenues,Aircraft Parking_Operating Revenues,Building Rentals_Operating Revenues,Lease of Ground Area_Operating Revenues,Fuel Flowage Fees_Operating Revenues,"Landing, Gate, and Ramp Fees_Operating Revenues",Concession Revenues_Operating Revenues,Sales and Services_Operating Revenues,Other Operating Revenues_Operating Revenues,Total Operating Revenues,Landing Areas_Maintenance and Operation_Operating Expenses,Aircraft Parking_Maintenance and Operation_Operating Expenses,Hangars_Maintenance and Operation_Operating Expenses,Terminal Buildings and Areas_Maintenance and Operation_Operating Expenses,Other Buildings and Areas_Maintenance and Operation_Operating Expenses,General Shops and Equipment_Maintenance and Operation_Operating Expenses,Personnel Services_Operating Expenses,Contractual Services_Operating Expenses,Materials and Supplies_Operating Expenses,General and Administrative Expenses_Operating Expenses,Cost of Sales and Services_Operating Expenses,Depreciation and Amortization Expenses_Operating Expenses,Other Operating Expenses_Operating Expenses,Total Operating Expenses,Operating Income (Loss),Investment Income_Nonoperating Revenues,"Rents, Leases, Concessions, and Royalties_Nonoperating Revenues",Passenger Facility Charges_Nonoperating Revenues,Aid for Construction_Intergovernmental ? Federal_Nonoperating Revenues,Other Intergovernmental ? Federal_Intergovernmental ? Federal_Nonoperating Revenues,Aid for Construction_Intergovernmental ? State_Nonoperating Revenues,In-Lieu Taxes_Intergovernmental ? State_Nonoperating Revenues,Other Intergovernmental ? State_Intergovernmental ? State_Nonoperating Revenues,Intergovernmental ? County_Nonoperating Revenues,Intergovernmental ? Other_Nonoperating Revenues,Gain on Disposal of Capital Assets_Nonoperating Revenues,Other Nonoperating Revenues_Nonoperating Revenues,Total Nonoperating Revenues,Interest Expense_Nonoperating Expenses,Taxes and Assessments_Nonoperating Expenses,Judgments and Damages_Nonoperating Expenses,Loss on Disposal of Capital Assets_Nonoperating Expenses,Other Nonoperating Expenses_Nonoperating Expenses,Total Nonoperating Expenses,"Income (Loss) Before Capital Contributions, Transfers, and Special and Extraordinary Items",Federal_Capital Contributions,State_Capital Contributions,County_Capital Contributions,Other Government_Capital Contributions,Other Capital Contributions_Capital Contributions,Total Capital Contributions,Transfers In,Transfers Out,Special Item_Special and Extraordinary Items,Extraordinary Item_Special and Extraordinary Items,Total Special and Extraordinary Items,Change in Net Position,"Net Position (Deficit), Beginning of Fiscal Year",Adjustment,Reason for Adjustment,"Net Position (Deficit), End of Fiscal Year",Net Investment in Capital Assets_Net Position (Deficit),Restricted_Net Position (Deficit),Unrestricted_Net Position (Deficit),Total Net Position (Deficit),Total Acreage_Statistics,Length of Longest Runway Surfaced_Statistics,Length of Longest Runway Unimproved_Statistics,Length of Longest Taxiway Surfaced_Statistics,Length of Longest Taxiway Unimproved_Statistics,Parking Apron Acreage Surfaced_Statistics,Parking Apron Acreage Unimproved_Statistics,Aircraft Tie-Down Acreage_Statistics,Auto Parking Acreage_Statistics,Total Number of Tenant Aircraft_Statistics,Number of Hangars_Statistics,Total Aircraft Movements_Statistics,Annual Fuel Consumption (Gallons)_Statistics,Year of Acquisition_Statistics,Number of Passengers Enplaned_Statistics,Number of Passengers Deplaned_Statistics,Pounds of Air Cargo and Express_Statistics,Pounds of Mail_Statistics,Number of Air Carriers Scheduled per Day_Statistics,Are airport services provided by other than the local agency? (Report Yes or No)_Statistics
Mammoth Lakes,1371,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,8341621,-8341621,Moving into a Special Revenue fund under Governmental as it is largely supported by the general fund.,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Marina,1375,2023,148520,1163817,NULL,120920,NULL,302529,NULL,478385,NULL,2214171,NULL,NULL,NULL,33769,128825,25661,279427,112875,NULL,316658,404294,730324,NULL,2031833,182338,23654,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8609,32263,NULL,NULL,NULL,NULL,NULL,0,214601,NULL,NULL,NULL,NULL,1199257,1199257,46682,-1376987,NULL,NULL,0,83553,47653616,167262,audit report was not finalized ,47904431,46234541,NULL,1669890,47904431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Merced,1382,2023,129911,1266,-23348,47921,19210,17058,NULL,6324,2061,200403,NULL,NULL,NULL,NULL,NULL,NULL,423730,NULL,1139065,NULL,NULL,448448,NULL,2011243,-1810840,122690,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1101028,NULL,47446,1271164,NULL,NULL,NULL,NULL,NULL,0,-539676,NULL,NULL,NULL,NULL,NULL,0,939367,-14432,NULL,NULL,0,385259,3339216,NULL,NULL,3724475,3922480,407069,-605074,3724475,450,5914,NULL,5914,NULL,10,NULL,16,2,65,91,58650,132769,1940,3753,3432,163153,NULL,1,No
Modesto,1387,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,988304,19748,1008052,NULL,NULL,NULL,NULL,NULL,NULL,435826,211827,122925,132068,NULL,729074,513893,2145613,-1137561,74212,263549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,634890,972651,NULL,NULL,NULL,NULL,25135,25135,-190045,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-190045,11786556,NULL,NULL,11596511,9064580,NULL,2531931,11596511,450,5911,NULL,5911,NULL,150,NULL,28,20,164,133,44967,683330,1936,NULL,NULL,483998,NULL,NULL,No
Montague,1389,2023,7080,NULL,NULL,NULL,422,NULL,NULL,NULL,NULL,7502,NULL,NULL,10465,NULL,NULL,5808,NULL,NULL,NULL,NULL,NULL,32542,NULL,48815,-41313,520,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,5000,NULL,NULL,15520,NULL,NULL,NULL,NULL,NULL,0,-25793,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-25793,641078,NULL,NULL,615285,442177,NULL,173108,615285,330,3360,2080,3360,NULL,6,1,3,1,15,17,1300,6340,1925,300,300,1040000,NULL,2,No
Oakdale,1413,2023,209159,NULL,NULL,NULL,NULL,NULL,NULL,449249,NULL,658408,NULL,NULL,NULL,NULL,NULL,NULL,28854,28677,123470,NULL,403701,165962,NULL,750664,-92256,451,NULL,NULL,NULL,NULL,NULL,5206,10000,NULL,NULL,NULL,NULL,15657,NULL,NULL,NULL,NULL,NULL,0,-76599,1051945,NULL,NULL,NULL,NULL,1051945,NULL,NULL,NULL,NULL,0,975346,5064279,44941,Prior period adjustment ,6084566,5606029,478537,NULL,6084566,120,3011,NULL,3011,NULL,2,NULL,4,1,80,22,NULL,32100,NULL,NULL,NULL,NULL,NULL,NULL,No
Oakland,1414,2023,8005038,382386,53828686,24170575,3878572,40833982,57458389,4093173,6111199,198762000,NULL,NULL,NULL,NULL,NULL,NULL,31838000,53225600,1763200,24083900,8124000,62248000,31550300,212833000,-14071000,13318000,NULL,21617000,NULL,17869000,NULL,NULL,NULL,NULL,NULL,12000,3509000,56325000,1371607,NULL,NULL,NULL,5089393,6461000,35793000,13534000,-18000,NULL,NULL,NULL,13516000,NULL,NULL,NULL,NULL,0,49309000,0,-49309000,Transfer to Harbor P&L Statement,0,NULL,NULL,NULL,0,2600,10000,NULL,NULL,NULL,NULL,NULL,NULL,71,152,154,215684,112017429,NULL,5782323,5784946,1179707000,17333000,11,No
Oceanside,1416,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9537,146802,156339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76047,127998,204045,-47706,4896,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4896,NULL,NULL,NULL,NULL,NULL,0,-42810,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-42810,3697081,NULL,NULL,3654271,4364269,NULL,-709998,3654271,3000,NULL,3000,NULL,NULL,NULL,NULL,NULL,NULL,84,44,26978,157361,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Oroville,1423,2023,222127,NULL,158734,NULL,240948,NULL,NULL,NULL,6401,628210,NULL,NULL,NULL,NULL,NULL,NULL,301835,719692,235918,NULL,NULL,264754,NULL,1522199,-893989,9120,NULL,NULL,NULL,460213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,469333,NULL,NULL,NULL,NULL,NULL,0,-424656,NULL,NULL,NULL,NULL,NULL,0,NULL,-108964,NULL,NULL,0,-533620,5074311,NULL,NULL,4540691,NULL,NULL,4540691,4540691,920,6020,NULL,6000,NULL,8,NULL,5,1,42,42,NULL,63425,1948,1210000,NULL,NULL,NULL,NULL,No
Palm Springs,1428,2023,52293997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52293997,NULL,NULL,NULL,NULL,NULL,NULL,10378823,1439384,811417,3130519,NULL,4888102,9602147,30250392,22043605,683749,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23312203,NULL,NULL,23995952,607477,NULL,NULL,NULL,NULL,607477,45432080,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,45432080,111578148,NULL,NULL,157010228,80963691,4933725,71112812,157010228,940,10000,NULL,10000,NULL,48,NULL,15,21,69,84,63307,25803593,1949,1633788,1610223,438603,NULL,13,Yes
Palo Alto,1430,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1780162,834444,2614606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2296815,NULL,97029,NULL,2393844,220762,94055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94055,65390,NULL,NULL,NULL,NULL,65390,249427,1914839,NULL,NULL,NULL,NULL,1914839,NULL,-1100,NULL,NULL,0,2163166,37487007,NULL,NULL,39650173,44471401,NULL,-4821228,39650173,102,2443,NULL,2443,NULL,40,3,40,2,398,63,151994,442146,1934,NULL,NULL,NULL,NULL,NULL,No
Petaluma,1438,2023,1164589,5401,NULL,NULL,775497,NULL,NULL,9122,NULL,1954609,NULL,NULL,NULL,NULL,NULL,NULL,477894,178232,76194,350150,548025,356571,499,1987565,-32956,64264,-1630,NULL,NULL,NULL,NULL,NULL,NULL,178873,NULL,0,NULL,241507,44625,NULL,NULL,NULL,NULL,44625,163926,1047720,NULL,NULL,NULL,NULL,1047720,NULL,NULL,NULL,NULL,0,1211646,11122443,NULL,NULL,12334089,11238131,NULL,1095958,12334089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Porterville,1452,2023,46230,492,6300,185944,2757,27780,14597,1232769,5801,1522670,NULL,NULL,NULL,NULL,49812,24675,308235,1282,2066,297731,900752,430408,NULL,2014961,-492291,134836,NULL,NULL,NULL,32000,NULL,NULL,10000,NULL,NULL,NULL,NULL,176836,925,NULL,NULL,NULL,NULL,925,-316380,749130,NULL,NULL,NULL,NULL,749130,6797,NULL,NULL,NULL,0,439547,10209305,NULL,NULL,10648852,6119667,NULL,4529185,10648852,728,5908,NULL,5908,NULL,8,NULL,8,3,89,52,NULL,2396758,1948,NULL,NULL,NULL,NULL,NULL,No
Red Bluff,1460,2023,NULL,NULL,117891,NULL,NULL,NULL,NULL,NULL,15589,133480,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30347,NULL,232874,39882,303103,-169623,7699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,128147,145846,NULL,NULL,NULL,NULL,NULL,0,-23777,NULL,NULL,NULL,NULL,24594,24594,NULL,-96058,NULL,NULL,0,-95241,2738012,NULL,NULL,2642771,2114083,NULL,528688,2642771,601,5431,NULL,3935,NULL,7,NULL,7,1,129,81,35000,44894,1927,1500,1500,14000,NULL,NULL,No
Redding,1461,2023,618238,50450,564515,374634,155196,158492,826557,NULL,4375,2752457,616258,NULL,NULL,1,NULL,33229,1495928,560822,168170,901132,NULL,1804115,NULL,5579655,-2827198,6645,NULL,326658,NULL,1860084,NULL,NULL,NULL,NULL,NULL,NULL,32610,2225997,35190,NULL,NULL,NULL,NULL,35190,-636391,4097398,NULL,NULL,NULL,NULL,4097398,522001,-245000,NULL,NULL,0,3738008,33370872,NULL,NULL,37108880,39708913,NULL,-2600033,37108880,1862,7003,7400,6500,0,30,0,24,5,331,241,60592,2177980,1927,92848,92757,1014416,0,4,Yes
Redlands,1462,2023,NULL,NULL,199594,119359,3248,14120,NULL,NULL,9809,346130,NULL,NULL,NULL,NULL,NULL,NULL,177637,317883,82441,NULL,NULL,223085,NULL,801046,-454916,15776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255327,271103,18142,NULL,NULL,NULL,NULL,18142,-201955,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-201955,2900626,NULL,NULL,2698671,3531855,NULL,-833184,2698671,180,4505,NULL,4505,NULL,25,3,18,3,201,201,67000,72000,1966,NULL,NULL,NULL,NULL,NULL,No
Reedley,1465,2023,98948,NULL,105244,NULL,NULL,NULL,NULL,NULL,542,204734,NULL,NULL,NULL,NULL,NULL,NULL,72476,181781,110921,NULL,NULL,128284,NULL,493462,-288728,-7306,NULL,NULL,NULL,1585699,NULL,8900,NULL,NULL,NULL,NULL,NULL,1587293,NULL,NULL,NULL,NULL,NULL,0,1298565,NULL,NULL,NULL,NULL,NULL,0,125986,NULL,NULL,NULL,0,1424551,3347748,NULL,NULL,4772299,4731452,NULL,40847,4772299,138,3300,200,3300,NULL,6,NULL,6,3,57,46,225,20710,1975,NULL,NULL,NULL,NULL,NULL,Yes
Rialto,1466,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4021,NULL,NULL,NULL,4021,-4021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3688918,20,3688938,NULL,NULL,NULL,NULL,NULL,0,3684917,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,3684917,5881030,NULL,NULL,9565947,NULL,NULL,9565947,9565947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Rio Vista,1470,2023,182492,1774,NULL,38746,NULL,NULL,NULL,NULL,56905,279917,NULL,NULL,NULL,93546,NULL,NULL,50866,50550,94070,13196,NULL,338226,NULL,640454,-360537,3968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3968,4157,NULL,NULL,NULL,3528,7685,-364254,156335,10000,NULL,NULL,NULL,166335,NULL,NULL,NULL,NULL,0,-197919,6289603,NULL,NULL,6091684,7000708,NULL,-909024,6091684,273,4200,NULL,4200,NULL,2,NULL,2,1,56,56,NULL,45793,1995,NULL,NULL,NULL,NULL,NULL,No
Riverside,1473,2023,561501,NULL,184791,1016315,NULL,NULL,NULL,NULL,116547,1879154,NULL,NULL,NULL,NULL,NULL,NULL,747613,236460,16029,202505,NULL,739978,418234,2360819,-481665,18856,NULL,NULL,NULL,12342,NULL,NULL,NULL,NULL,NULL,NULL,19541,50739,23131,NULL,NULL,NULL,NULL,23131,-454057,193104,NULL,NULL,NULL,NULL,193104,NULL,NULL,NULL,NULL,0,-260953,21577025,NULL,NULL,21316072,20491000,NULL,825072,21316072,525,5401,NULL,5401,NULL,23,NULL,17,2,183,167,130483,265798,1949,NULL,NULL,NULL,NULL,NULL,Yes
